error_type,primary_count,primary_percentage_of_analyzed,secondary_count,any_case_count,any_case_percentage_of_analyzed,representative_example_ids,representative_cases
VALUE_GROUNDING,53,15.36,22,75,21.74,"[57, 58, 83]","[{""example_id"": 57, ""db_id"": ""pets_1"", ""question"": ""고양이나 개 반려동물을 가진 학생들의 이름을 찾으세요."", ""primary_error"": ""VALUE_GROUNDING"", ""secondary_errors"": [], ""gold_sql"": ""SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog'"", ""predicted_sql"": ""SELECT DISTINCT s.Fname \nFROM Student s \nJOIN Has_Pet hp ON s.StuID = hp.StuID \nJOIN Pets p ON hp.PetID = p.PetID \nWHERE p.PetType = '고양이' OR p.PetType = '개'""}, {""example_id"": 58, ""db_id"": ""pets_1"", ""question"": ""고양이나 개를 반려동물로 가진 모든 학생의 이름은 무엇인가요?"", ""primary_error"": ""VALUE_GROUNDING"", ""secondary_errors"": [], ""gold_sql"": ""SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog'"", ""predicted_sql"": ""SELECT DISTINCT s.Fname \nFROM Student s\nJOIN Has_Pet hp ON s.StuID = hp.StuID\nJOIN Pets p ON hp.PetID = p.PetID\nWHERE p.PetType = '고양이' OR p.PetType = '개'""}, {""example_id"": 83, ""db_id"": ""pets_1"", ""question"": ""3살인 고양이를 가진 학생의 성을 찾으세요."", ""primary_error"": ""VALUE_GROUNDING"", ""secondary_errors"": [], ""gold_sql"": ""SELECT T1.lname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pet_age  =  3 AND T3.pettype  =  'cat'"", ""predicted_sql"": ""SELECT s.LName \nFROM Student s\nJOIN Has_Pet hp ON s.StuID = hp.StuID\nJOIN Pets p ON hp.PetID = p.PetID\nWHERE p.PetType = 'Cat' AND p.pet_age = 3""}]"
SUBQUERY,53,15.36,16,69,20.0,"[344, 371, 372]","[{""example_id"": 344, ""db_id"": ""cre_Doc_Template_Mgt"", ""question"": ""문서에서 가장 일반적으로 사용되는 템플릿 유형의 코드를 반환하세요."", ""primary_error"": ""SUBQUERY"", ""secondary_errors"": [""EXTRA_FILTER"", ""DISTINCT"", ""SELECT_TARGET""], ""gold_sql"": ""SELECT T1.template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code ORDER BY count(*) DESC LIMIT 1"", ""predicted_sql"": ""SELECT Template_Type_Code \nFROM Templates \nWHERE Template_Type_Code = (\n    SELECT Template_Type_Code \n    FROM Templates \n    JOIN Documents ON Templates.Template_ID = Documents.Template_ID \n    GROUP BY Template_Type_Code \n    ORDER BY COUNT(*) DESC \n    LIMIT 1\n)""}, {""example_id"": 371, ""db_id"": ""cre_Doc_Template_Mgt"", ""question"": ""적어도 두 개의 문단이 있는 모든 문서 ID를 나열하십시오."", ""primary_error"": ""SUBQUERY"", ""secondary_errors"": [""EXTRA_FILTER"", ""DISTINCT"", ""SELECT_TARGET""], ""gold_sql"": ""SELECT document_id FROM Paragraphs GROUP BY document_id HAVING count(*)  >=  2"", ""predicted_sql"": ""SELECT Document_ID \nFROM Paragraphs \nWHERE Document_ID IN (\n    SELECT Document_ID \n    FROM Paragraphs \n    GROUP BY Document_ID \n    HAVING COUNT(*) >= 2\n)""}, {""example_id"": 372, ""db_id"": ""cre_Doc_Template_Mgt"", ""question"": ""2개 이상의 문단이 있는 문서의 ID는 무엇입니까?"", ""primary_error"": ""SUBQUERY"", ""secondary_errors"": [""EXTRA_FILTER"", ""DISTINCT"", ""SELECT_TARGET""], ""gold_sql"": ""SELECT document_id FROM Paragraphs GROUP BY document_id HAVING count(*)  >=  2"", ""predicted_sql"": ""SELECT Document_ID \nFROM Paragraphs \nWHERE Document_ID IN (\n    SELECT Document_ID \n    FROM Paragraphs \n    GROUP BY Document_ID \n    HAVING COUNT(*) >= 2\n)""}]"
SELECT_TARGET,44,12.75,186,230,66.67,"[71, 72, 73]","[{""example_id"": 71, ""db_id"": ""pets_1"", ""question"": ""각 반려동물 종류별 평균 및 최대 나이를 찾으세요."", ""primary_error"": ""SELECT_TARGET"", ""secondary_errors"": [], ""gold_sql"": ""SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype"", ""predicted_sql"": ""SELECT \n    PetType, \n    AVG(pet_age) AS average_age, \n    MAX(pet_age) AS maximum_age \nFROM \n    Pets \nGROUP BY \n    PetType""}, {""example_id"": 72, ""db_id"": ""pets_1"", ""question"": ""각 반려동물 종류별 평균 및 최대 나이는 얼마인가요?"", ""primary_error"": ""SELECT_TARGET"", ""secondary_errors"": [], ""gold_sql"": ""SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype"", ""predicted_sql"": ""SELECT \n    PetType, \n    AVG(pet_age) AS average_age, \n    MAX(pet_age) AS maximum_age \nFROM \n    Pets \nGROUP BY \n    PetType""}, {""example_id"": 73, ""db_id"": ""pets_1"", ""question"": ""각 반려동물 종류별 평균 체중을 찾으세요."", ""primary_error"": ""SELECT_TARGET"", ""secondary_errors"": [], ""gold_sql"": ""SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype"", ""predicted_sql"": ""SELECT AVG(weight) AS average_weight \nFROM Pets \nGROUP BY PetType""}]"
SET_OPERATION,44,12.75,0,44,12.75,"[1028, 1029, 346]","[{""example_id"": 1028, ""db_id"": ""singer"", ""question"": ""1945년 전과 1955년 후 출생한 가수들이 공유하는 국적을 보여주세요."", ""primary_error"": ""SET_OPERATION"", ""secondary_errors"": [""WRONG_FILTER_OPERATOR"", ""DISTINCT"", ""SELECT_TARGET""], ""gold_sql"": ""SELECT Citizenship FROM singer WHERE Birth_Year  <  1945 INTERSECT SELECT Citizenship FROM singer WHERE Birth_Year  >  1955"", ""predicted_sql"": ""SELECT Citizenship \nFROM singer \nWHERE Birth_Year <= 1945 AND Birth_Year >= 1955""}, {""example_id"": 1029, ""db_id"": ""singer"", ""question"": ""1945년 전과 1955년 후 출생한 가수들이 공유하는 국적은 무엇인가요?"", ""primary_error"": ""SET_OPERATION"", ""secondary_errors"": [""WRONG_FILTER_OPERATOR"", ""DISTINCT"", ""SELECT_TARGET""], ""gold_sql"": ""SELECT Citizenship FROM singer WHERE Birth_Year  <  1945 INTERSECT SELECT Citizenship FROM singer WHERE Birth_Year  >  1955"", ""predicted_sql"": ""SELECT Citizenship \nFROM singer \nWHERE Birth_Year <= 1945 AND Birth_Year >= 1955""}, {""example_id"": 346, ""db_id"": ""cre_Doc_Template_Mgt"", ""question"": ""어떤 문서에도 사용되지 않는 템플릿 유형의 코드는 무엇입니까?"", ""primary_error"": ""SET_OPERATION"", ""secondary_errors"": [""SUBQUERY"", ""NEGATION"", ""EXTRA_FILTER"", ""DISTINCT""], ""gold_sql"": ""SELECT template_type_code FROM Templates EXCEPT SELECT template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id"", ""predicted_sql"": ""SELECT \""Template_Type_Code\"" \nFROM \""Templates\"" \nWHERE \""Template_Type_Code\"" NOT IN (SELECT DISTINCT \""Template_Type_Code\"" FROM \""Documents\"" JOIN \""Templates\"" ON \""Documents\"".\""Template_ID\"" = \""Templates\"".\""Template_ID\"")""}]"
GROUP_BY,35,10.14,56,91,26.38,"[1032, 469, 471]","[{""example_id"": 1032, ""db_id"": ""real_estate_properties"", ""question"": ""해당 코드에 속하는 자산 유형 설명을 보여주세요."", ""primary_error"": ""GROUP_BY"", ""secondary_errors"": [], ""gold_sql"": ""SELECT T2.property_type_description FROM Properties AS T1 JOIN Ref_Property_Types AS T2 ON T1.property_type_code  =  T2.property_type_code GROUP BY T1.property_type_code"", ""predicted_sql"": ""SELECT rt.property_type_description\nFROM Ref_Property_Types rt\nJOIN Properties p ON rt.property_type_code = p.property_type_code""}, {""example_id"": 469, ""db_id"": ""wta_1"", ""question"": ""각 선수의 평균 랭킹과 이름을 찾으세요."", ""primary_error"": ""GROUP_BY"", ""secondary_errors"": [""SELECT_TARGET""], ""gold_sql"": ""SELECT avg(ranking) ,  T1.first_name FROM players AS T1 JOIN rankings AS T2 ON T1.player_id  =  T2.player_id GROUP BY T1.first_name"", ""predicted_sql"": ""SELECT \n    p.first_name, \n    AVG(r.ranking) AS average_ranking\nFROM \n    players p\nJOIN \n    rankings r ON p.player_id = r.player_id\nGROUP BY \n    p.player_id, p.first_name""}, {""example_id"": 471, ""db_id"": ""wta_1"", ""question"": ""각 선수의 총 랭킹 포인트와 이름을 찾으세요."", ""primary_error"": ""GROUP_BY"", ""secondary_errors"": [""SELECT_TARGET""], ""gold_sql"": ""SELECT sum(ranking_points) ,  T1.first_name FROM players AS T1 JOIN rankings AS T2 ON T1.player_id  =  T2.player_id GROUP BY T1.first_name"", ""predicted_sql"": ""SELECT \n    p.first_name, \n    SUM(r.ranking_points) AS total_ranking_points\nFROM \n    players p\nJOIN \n    rankings r ON p.player_id = r.player_id\nGROUP BY \n    p.player_id, p.first_name""}]"
JOIN_CONDITION,19,5.51,61,80,23.19,"[945, 79, 115]","[{""example_id"": 945, ""db_id"": ""dog_kennels"", ""question"": ""평균보다 적은 비용의 치료를 운영한 전문가는 누구인가요? 그들의 이름과 성을 알려주세요."", ""primary_error"": ""JOIN_CONDITION"", ""secondary_errors"": [""DISTINCT""], ""gold_sql"": ""SELECT DISTINCT T1.first_name ,  T1.last_name FROM Professionals AS T1 JOIN Treatments AS T2 WHERE cost_of_treatment  <  ( SELECT avg(cost_of_treatment) FROM Treatments )"", ""predicted_sql"": ""SELECT p.first_name, p.last_name\nFROM Professionals p\nJOIN Treatments t ON p.first_name = t.cost_of_treatment\nWHERE t.cost_of_treatment < (SELECT AVG(cost_of_treatment) FROM Treatments)""}, {""example_id"": 79, ""db_id"": ""pets_1"", ""question"": ""반려동물이 있는 각 학생별 반려동물 수와 학생 ID를 찾으세요."", ""primary_error"": ""JOIN_CONDITION"", ""secondary_errors"": [""AGGREGATION"", ""SELECT_TARGET""], ""gold_sql"": ""SELECT count(*) ,  T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid"", ""predicted_sql"": ""SELECT \n    s.StuID, \n    COUNT(h.StuID) AS pet_count\nFROM \n    Student s\nLEFT JOIN \n    Has_Pet h ON s.StuID = h.StuID\nGROUP BY \n    s.StuID""}, {""example_id"": 115, ""db_id"": ""car_1"", ""question"": ""미국에서 생산된 자동차 모델은 몇 개입니까?"", ""primary_error"": ""JOIN_CONDITION"", ""secondary_errors"": [""VALUE_GROUNDING"", ""MISSING_TABLE_OR_COLUMN""], ""gold_sql"": ""SELECT count(*) FROM MODEL_LIST AS T1 JOIN CAR_MAKERS AS T2 ON T1.Maker  =  T2.Id JOIN COUNTRIES AS T3 ON T2.Country  =  T3.CountryId WHERE T3.CountryName  =  'usa';"", ""predicted_sql"": ""SELECT COUNT(*) \nFROM model_list \nJOIN car_makers ON model_list.Maker = car_makers.Id \nJOIN countries ON car_makers.Country = countries.CountryName \nWHERE countries.CountryName = 'United States'""}]"
AGGREGATION,16,4.64,100,116,33.62,"[439, 440, 578]","[{""example_id"": 439, ""db_id"": ""wta_1"", ""question"": ""모든 경기에서 패자의 가장 높은 순위를 찾으세요."", ""primary_error"": ""AGGREGATION"", ""secondary_errors"": [""SELECT_TARGET""], ""gold_sql"": ""SELECT min(loser_rank) FROM matches"", ""predicted_sql"": ""SELECT MAX(loser_rank) FROM matches""}, {""example_id"": 440, ""db_id"": ""wta_1"", ""question"": ""모든 경기에서 패자 중 최고 순위는 무엇입니까?"", ""primary_error"": ""AGGREGATION"", ""secondary_errors"": [""SELECT_TARGET""], ""gold_sql"": ""SELECT min(loser_rank) FROM matches"", ""predicted_sql"": ""SELECT MAX(loser_rank) FROM matches""}, {""example_id"": 578, ""db_id"": ""student_transcripts_tracking"", ""question"": ""학생들이 거주하는 다른 주소는 무엇입니까?"", ""primary_error"": ""AGGREGATION"", ""secondary_errors"": [""SELECT_TARGET""], ""gold_sql"": ""SELECT count(DISTINCT current_address_id) FROM Students"", ""predicted_sql"": ""SELECT current_address_id FROM Students""}]"
MISSING_FILTER,12,3.48,60,72,20.87,"[54, 724, 725]","[{""example_id"": 54, ""db_id"": ""pets_1"", ""question"": ""여성 학생들이 기르는 개 반려동물은 몇 마리인가요?"", ""primary_error"": ""MISSING_FILTER"", ""secondary_errors"": [""MISSING_TABLE_OR_COLUMN""], ""gold_sql"": ""SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog'"", ""predicted_sql"": ""SELECT COUNT(*) \nFROM Has_Pet \nJOIN Student ON Has_Pet.StuID = Student.StuID \nJOIN Pets ON Has_Pet.PetID = Pets.PetID \nWHERE Student.Sex = 'F'""}, {""example_id"": 724, ""db_id"": ""world_1"", ""question"": ""공화국인 아프리카 국가들의 평균 기대 수명은 얼마인가요?"", ""primary_error"": ""MISSING_FILTER"", ""secondary_errors"": [""MISSING_TABLE_OR_COLUMN""], ""gold_sql"": ""SELECT avg(LifeExpectancy) FROM country WHERE Continent  =  \""Africa\"" AND GovernmentForm  =  \""Republic\"""", ""predicted_sql"": ""SELECT AVG(\""LifeExpectancy\"") \nFROM \""country\"" \nWHERE \""Continent\"" = 'Africa'""}, {""example_id"": 725, ""db_id"": ""world_1"", ""question"": ""공화국인 아프리카 국가들의 평균 기대 수명을 알려주세요?"", ""primary_error"": ""MISSING_FILTER"", ""secondary_errors"": [""MISSING_TABLE_OR_COLUMN""], ""gold_sql"": ""SELECT avg(LifeExpectancy) FROM country WHERE Continent  =  \""Africa\"" AND GovernmentForm  =  \""Republic\"""", ""predicted_sql"": ""SELECT AVG(\""LifeExpectancy\"") \nFROM \""country\"" \nWHERE \""Continent\"" = 'Africa'""}]"
HAVING,12,3.48,27,39,11.3,"[123, 124, 314]","[{""example_id"": 123, ""db_id"": ""car_1"", ""question"": ""적어도 한 개의 자동차 제조업체를 가진 국가는 무엇입니까? 이름과 ID를 나열하세요."", ""primary_error"": ""HAVING"", ""secondary_errors"": [""GROUP_BY"", ""AGGREGATION""], ""gold_sql"": ""SELECT T1.CountryName ,  T1.CountryId FROM COUNTRIES AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId  =  T2.Country GROUP BY T1.CountryId HAVING count(*)  >=  1;"", ""predicted_sql"": ""SELECT c.CountryName, c.CountryId\nFROM countries c\nJOIN car_makers cm ON c.CountryId = cm.Country""}, {""example_id"": 124, ""db_id"": ""car_1"", ""question"": ""적어도 한 개의 자동차 제조업체를 가진 모든 국가의 이름과 ID는 무엇입니까?"", ""primary_error"": ""HAVING"", ""secondary_errors"": [""GROUP_BY"", ""AGGREGATION""], ""gold_sql"": ""SELECT T1.CountryName ,  T1.CountryId FROM COUNTRIES AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId  =  T2.Country GROUP BY T1.CountryId HAVING count(*)  >=  1;"", ""predicted_sql"": ""SELECT c.CountryName, c.CountryId\nFROM countries c\nJOIN car_makers cm ON c.CountryId = cm.Country""}, {""example_id"": 314, ""db_id"": ""cre_Doc_Template_Mgt"", ""question"": ""둘 이상의 문서에서 사용되는 템플릿의 ID는 무엇입니까?"", ""primary_error"": ""HAVING"", ""secondary_errors"": [""GROUP_BY"", ""AGGREGATION""], ""gold_sql"": ""SELECT template_id FROM Documents GROUP BY template_id HAVING count(*)  >  1"", ""predicted_sql"": ""SELECT Template_ID \nFROM Documents""}]"
JOIN_PATH,11,3.19,12,23,6.67,"[53, 353, 354]","[{""example_id"": 53, ""db_id"": ""pets_1"", ""question"": ""여성 학생(성별 F)이 기르는 개 반려동물의 수를 찾으세요."", ""primary_error"": ""JOIN_PATH"", ""secondary_errors"": [""JOIN_CONDITION"", ""MISSING_FILTER"", ""MISSING_TABLE_OR_COLUMN""], ""gold_sql"": ""SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog'"", ""predicted_sql"": ""SELECT COUNT(*) \nFROM Has_Pet \nJOIN Student ON Has_Pet.StuID = Student.StuID \nWHERE Student.Sex = 'F'""}, {""example_id"": 353, ""db_id"": ""cre_Doc_Template_Mgt"", ""question"": ""어떤 문서에서든 사용된 템플릿의 서로 다른 템플릿 유형 설명은 무엇입니까?"", ""primary_error"": ""JOIN_PATH"", ""secondary_errors"": [""JOIN_CONDITION"", ""DISTINCT"", ""MISSING_TABLE_OR_COLUMN""], ""gold_sql"": ""SELECT DISTINCT T1.template_type_description FROM Ref_template_types AS T1 JOIN Templates AS T2 ON T1.template_type_code  = T2.template_type_code JOIN Documents AS T3 ON T2.Template_ID  =  T3.template_ID"", ""predicted_sql"": ""SELECT rt.Template_Type_Description  \nFROM Ref_Template_Types rt""}, {""example_id"": 354, ""db_id"": ""cre_Doc_Template_Mgt"", ""question"": ""문서에서 사용된 템플릿의 다양한 설명을 반환하십시오."", ""primary_error"": ""JOIN_PATH"", ""secondary_errors"": [""JOIN_CONDITION"", ""DISTINCT"", ""MISSING_TABLE_OR_COLUMN""], ""gold_sql"": ""SELECT DISTINCT T1.template_type_description FROM Ref_template_types AS T1 JOIN Templates AS T2 ON T1.template_type_code  = T2.template_type_code JOIN Documents AS T3 ON T2.Template_ID  =  T3.template_ID"", ""predicted_sql"": ""SELECT rt.Template_Type_Description  \nFROM Ref_Template_Types rt""}]"
